Names
Mozelle Alderson
Ora Alexander
Mildred Bailey
Mildred Bailey
Blue Lu Barker
Gladys Bentley
Esther Bigeou
Lucille Bogan
Ada Brown
Bessie Brown
Eliza Brown
Kitty Brown
Alice Carter
Alice Leslie Carter
Martha Copeland
Ida Cox
Katie Crippen
Madlyn Davis
Mattie Dorsey
Bernice Edwards
Ethel Finnie
Miss Frankie
Cleo Gibson
Lillian Glinn
Lillian Goodner
Ida Goodson
Fannie May Goosby
Coot Grant
Helen Gross
Bertha "Chippie" Hill
Marion Harris
Lucille Hegamin
Edmonia Henderson
Katherine Henderson
Rosa Henderson
Edna Hicks
Bertha "Chippie" Hill
Mattie Hite
Rosetta Howard
Helen Humes
Alberta Hunter
Bertha Idaho
Edith North Johnson
Lil Johnson
Mary Johnson
Merline Johnson
Maggie Jones
Virginia Liston
Sara Martin with Sylvester Weaver
Ida May Mack
Daisy Martin
Sara Martin
Viola McCoy
Hazel Meyers
Josie Miles
Lizzie Miles
Monette Moore
Ma Rainey
Ma Rainey
Elzadie Robinson
Bessie Smith
Bessie Smith
Clara Smith
Laura Smith
Mamie Smith
Ruby Smith
Trixie Smith
Victoria Spivey
Mary Stafford
Hannah Sylvester
Eva Taylor
Bessie Tucker
Lavinia Turner
Ethel Waters
Sippie Wallace
Ethel Waters
Georgia White
Edith Wilson
Lena Wilson
Estelle Yancey
